mock_date,city,checkout_uv,paid_uv,overall_pay_rate,top20_checkout_uv,top20_paid_uv,oos_rate
2026-04-26,广州,1070.0,682.0,0.6374,113.0,74.0,0.3451
2026-04-26,成都,874.0,587.0,0.6716,94.0,65.0,0.3085
2026-04-26,杭州,769.0,494.0,0.6424,81.0,48.0,0.4074
2026-04-26,武汉,932.0,604.0,0.6481,105.0,73.0,0.3048
2026-04-26,深圳,1147.0,739.0,0.6443,136.0,86.0,0.3676
2026-04-27,上海,1102.0,743.0,0.6742,115.0,78.0,0.3217
2026-04-27,北京,986.0,650.0,0.6592,103.0,66.0,0.3592
2026-04-27,南京,881.0,580.0,0.6583,86.0,53.0,0.3837
2026-04-27,广州,1216.0,813.0,0.6686,124.0,83.0,0.3306
2026-04-27,成都,712.0,496.0,0.6966,70.0,46.0,0.3429
2026-04-27,杭州,1106.0,738.0,0.6673,131.0,97.0,0.2595
2026-04-27,武汉,893.0,595.0,0.6663,93.0,58.0,0.3763
2026-04-27,深圳,910.0,592.0,0.6505,95.0,66.0,0.3053
2026-04-28,上海,1156.0,790.0,0.6834,101.0,68.0,0.3267
2026-04-28,北京,894.0,609.0,0.6812,87.0,60.0,0.3103
2026-04-28,南京,1069.0,713.0,0.667,122.0,73.0,0.4016
2026-04-28,广州,1109.0,746.0,0.6727,95.0,63.0,0.3368
2026-04-28,成都,1117.0,768.0,0.6876,125.0,82.0,0.344
2026-04-28,杭州,1063.0,723.0,0.6802,124.0,92.0,0.2581
2026-04-28,武汉,965.0,667.0,0.6912,96.0,68.0,0.2917
2026-04-28,深圳,1091.0,742.0,0.6801,106.0,75.0,0.2925
2026-04-29,上海,1050.0,735.0,0.7,113.0,74.0,0.3451
2026-04-29,北京,979.0,673.0,0.6874,104.0,77.0,0.2596
2026-04-29,南京,1171.0,780.0,0.6661,124.0,80.0,0.3548
2026-04-29,广州,1072.0,731.0,0.6819,110.0,80.0,0.2727
2026-04-29,成都,832.0,560.0,0.6731,86.0,53.0,0.3837
2026-04-29,杭州,1054.0,714.0,0.6774,113.0,80.0,0.292
2026-04-29,武汉,996.0,667.0,0.6697,102.0,65.0,0.3627
2026-04-29,深圳,1012.0,693.0,0.6848,111.0,75.0,0.3243
2026-04-30,上海,1174.0,782.0,0.6661,113.0,70.0,0.3805
2026-04-30,北京,937.0,611.0,0.6521,78.0,51.0,0.3462
2026-04-30,南京,1200.0,801.0,0.6675,113.0,75.0,0.3363
2026-04-30,广州,885.0,610.0,0.6893,93.0,66.0,0.2903
2026-04-30,成都,1046.0,708.0,0.6769,116.0,76.0,0.3448
2026-04-30,杭州,1092.0,741.0,0.6786,136.0,90.0,0.3382
2026-04-30,武汉,1118.0,733.0,0.6556,121.0,83.0,0.314
2026-04-30,深圳,1130.0,780.0,0.6903,98.0,69.0,0.2959
