period,channel,city,is_top20_product,checkout_uv,paid_uv,blocked_uv,checkout_to_pay_rate,blocked_rate
1. 正常期,达人种草,杭州,0,6543.0,4441.0,2102.0,0.6787,0.3213
1. 正常期,达人种草,杭州,1,764.0,512.0,252.0,0.6702,0.3298
1. 正常期,达人种草,武汉,0,6740.0,4529.0,2211.0,0.672,0.328
1. 正常期,达人种草,武汉,1,724.0,515.0,209.0,0.7113,0.2887
1. 正常期,达人种草,深圳,0,7186.0,4841.0,2345.0,0.6737,0.3263
1. 正常期,达人种草,深圳,1,857.0,589.0,268.0,0.6873,0.3127
2. 异常期,信息流渠道A,上海,0,1820.0,1109.0,711.0,0.6093,0.3907
2. 异常期,信息流渠道A,上海,1,215.0,124.0,91.0,0.5767,0.4233
2. 异常期,信息流渠道A,北京,0,1663.0,1017.0,646.0,0.6115,0.3885
2. 异常期,信息流渠道A,北京,1,187.0,30.0,157.0,0.1604,0.8396
2. 异常期,信息流渠道A,南京,0,1882.0,1111.0,771.0,0.5903,0.4097
2. 异常期,信息流渠道A,南京,1,210.0,135.0,75.0,0.6429,0.3571
2. 异常期,信息流渠道A,广州,0,2163.0,1340.0,823.0,0.6195,0.3805
2. 异常期,信息流渠道A,广州,1,220.0,146.0,74.0,0.6636,0.3364
2. 异常期,信息流渠道A,成都,0,2062.0,1260.0,802.0,0.6111,0.3889
2. 异常期,信息流渠道A,成都,1,222.0,143.0,79.0,0.6441,0.3559
2. 异常期,信息流渠道A,杭州,0,1769.0,1049.0,720.0,0.593,0.407
2. 异常期,信息流渠道A,杭州,1,178.0,29.0,149.0,0.1629,0.8371
2. 异常期,信息流渠道A,武汉,0,1854.0,1127.0,727.0,0.6079,0.3921
2. 异常期,信息流渠道A,武汉,1,198.0,115.0,83.0,0.5808,0.4192
2. 异常期,信息流渠道A,深圳,0,1641.0,981.0,660.0,0.5978,0.4022
2. 异常期,信息流渠道A,深圳,1,180.0,111.0,69.0,0.6167,0.3833
2. 异常期,自然搜索,上海,0,1348.0,911.0,437.0,0.6758,0.3242
2. 异常期,自然搜索,上海,1,153.0,109.0,44.0,0.7124,0.2876
2. 异常期,自然搜索,北京,0,1482.0,1039.0,443.0,0.7011,0.2989
2. 异常期,自然搜索,北京,1,180.0,119.0,61.0,0.6611,0.3389
2. 异常期,自然搜索,南京,0,1467.0,1016.0,451.0,0.6926,0.3074
2. 异常期,自然搜索,南京,1,163.0,100.0,63.0,0.6135,0.3865
2. 异常期,自然搜索,广州,0,1399.0,955.0,444.0,0.6826,0.3174
2. 异常期,自然搜索,广州,1,176.0,125.0,51.0,0.7102,0.2898
2. 异常期,自然搜索,成都,0,1563.0,1065.0,498.0,0.6814,0.3186
2. 异常期,自然搜索,成都,1,178.0,127.0,51.0,0.7135,0.2865
2. 异常期,自然搜索,杭州,0,1408.0,932.0,476.0,0.6619,0.3381
2. 异常期,自然搜索,杭州,1,198.0,137.0,61.0,0.6919,0.3081
2. 异常期,自然搜索,武汉,0,1386.0,956.0,430.0,0.6898,0.3102
2. 异常期,自然搜索,武汉,1,174.0,122.0,52.0,0.7011,0.2989
2. 异常期,自然搜索,深圳,0,1723.0,1174.0,549.0,0.6814,0.3186
2. 异常期,自然搜索,深圳,1,212.0,146.0,66.0,0.6887,0.3113
2. 异常期,达人种草,上海,0,1558.0,1054.0,504.0,0.6765,0.3235
2. 异常期,达人种草,上海,1,157.0,113.0,44.0,0.7197,0.2803
2. 异常期,达人种草,北京,0,1451.0,993.0,458.0,0.6844,0.3156
2. 异常期,达人种草,北京,1,169.0,122.0,47.0,0.7219,0.2781
2. 异常期,达人种草,南京,0,1594.0,1069.0,525.0,0.6706,0.3294
2. 异常期,达人种草,南京,1,166.0,104.0,62.0,0.6265,0.3735
2. 异常期,达人种草,广州,0,1701.0,1166.0,535.0,0.6855,0.3145
2. 异常期,达人种草,广州,1,203.0,139.0,64.0,0.6847,0.3153
2. 异常期,达人种草,成都,0,1371.0,923.0,448.0,0.6732,0.3268
2. 异常期,达人种草,成都,1,165.0,115.0,50.0,0.697,0.303
2. 异常期,达人种草,杭州,0,1335.0,871.0,464.0,0.6524,0.3476
2. 异常期,达人种草,杭州,1,157.0,110.0,47.0,0.7006,0.2994
2. 异常期,达人种草,武汉,0,1472.0,1026.0,446.0,0.697,0.303
2. 异常期,达人种草,武汉,1,169.0,117.0,52.0,0.6923,0.3077
2. 异常期,达人种草,深圳,0,1742.0,1173.0,569.0,0.6734,0.3266
2. 异常期,达人种草,深圳,1,233.0,160.0,73.0,0.6867,0.3133
